cid,Name,Synonyms,In_PubChem,Linked_BioAssays,Data_Source,Context,Create_Date
C1,butorphanol,butorphanol,True,,1-s2.0-S0960894X08008214-main.pdf,of butorphanol at opioid receptors,20260625
C2,Stadol,Stadol,True,,1-s2.0-S0960894X08008214-main.pdf,Stadol,20260625
C3,benzyl,benzyl,True,,1-s2.0-S0960894X08008214-main.pdf,"skeleton(1),thebasicnitrogenatposition17andtheA-ringphe- the l opioid receptor. A butorphan benzyl carbamate had lower",20260625
C4,carbamate,carbamate,True,,1-s2.0-S0960894X08008214-main.pdf,"skeleton(1),thebasicnitrogenatposition17andtheA-ringphe- the l opioid receptor. A butorphan benzyl carbamate had lower",20260625
C5,biphenyl,biphenyl,True,,1-s2.0-S0960894X08008214-main.pdf,biphenyl) interacting with a hydrophobic binding pocket in the maintainedwhentheabilityofthe3-OHgrouptoparticipateasa,20260625
C6,morphine,morphine,True,,1-s2.0-S0960894X08008214-main.pdf,"nananalogsofbutorphan(3a)connectedbyadiacidlinkerspacer is 4–8 times that of morphine, 30–40 times that of meperdine,",20260625
C7,pentazocine,pentazocine,True,,1-s2.0-S0960894X08008214-main.pdf,ofvaryinglengthshadpotentbindingaffinitytothelandjopioid and 16–24 times that of pentazocine.8 Butorphanol has been,20260625
C8,phosphate,phosphate,True,,1-s2.0-S0960894X08008214-main.pdf,Allnewcompoundswereevaluatedastheirhydrochloridesalts 4c was studied at pH 7.4 in 25mM phosphate buffer at 37(cid:4)C by,20260625
C9,phenol,phenol,True,,1-s2.0-S0960894X08008214-main.pdf,"Introduction of hydrophobic groups onto the phenol oxygen than with butorphanol though the affinity of two, 5d and 5f, are",20260625
C10,phenethyl,phenethyl,True,,1-s2.0-S0960894X08008214-main.pdf,receptor(seeImage4). phenethyl ether 5d is similar in hydrophobicity to the pheno-,20260625
C11,CH2Cl2,CH2Cl2,True,,1-s2.0-S0960894X08008214-main.pdf,"Scheme1. Reagentsandconditions:(a)ROCl,Et3N,CH2Cl2,rt;(b)RCOOH,DCC,DMAP,CH2Cl2,rt;(c)RBr,NaH,DMF,rt.",20260625
